UPS Worldwide Express,,,,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,,,,

Weight Not To Exceed,Zone 80,Zone 81,Zone 82,Zone 84,Zone 900,Zone 901,Zone 902,Zone 903,Zone 904,Zone 905,Zone 906,Zone 907,Zone 908
30,$161.75 ,$135.25 ,$152.00 ,$161.75 ,$196.50 ,$208.50 ,$224.00 ,$235.75 ,$271.00 ,$274.50 ,$441.50 ,$505.75 ,$509.25 
31,$164.25 ,$137.50 ,$154.75 ,$164.25 ,$201.50 ,$212.75 ,$228.50 ,$240.75 ,$277.50 ,$281.00 ,$450.25 ,$518.25 ,$521.75 
32,$167.00 ,$140.25 ,$157.50 ,$167.00 ,$206.00 ,$218.00 ,$233.75 ,$246.00 ,$284.00 ,$287.50 ,$459.25 ,$530.75 ,$534.25 
33,$169.25 ,$142.50 ,$160.00 ,$169.25 ,$210.75 ,$222.25 ,$239.00 ,$251.25 ,$290.50 ,$294.00 ,$468.25 ,$542.75 ,$546.75 
34,$172.00 ,$145.75 ,$162.75 ,$172.00 ,$215.00 ,$226.75 ,$243.25 ,$256.25 ,$296.75 ,$300.50 ,$477.00 ,$554.75 ,$559.25 
35,$174.50 ,$148.00 ,$165.25 ,$174.50 ,$219.75 ,$231.25 ,$248.75 ,$261.25 ,$303.25 ,$307.00 ,$485.75 ,$566.75 ,$571.50 
36,$177.00 ,$150.25 ,$168.00 ,$177.00 ,$224.25 ,$235.50 ,$251.50 ,$266.00 ,$309.75 ,$314.25 ,$494.50 ,$578.00 ,$584.00 
37,$179.50 ,$153.00 ,$171.00 ,$179.50 ,$229.00 ,$240.00 ,$257.00 ,$271.00 ,$316.25 ,$320.75 ,$503.00 ,$589.00 ,$596.50 
38,$181.75 ,$155.50 ,$173.25 ,$181.75 ,$233.50 ,$244.25 ,$262.25 ,$275.75 ,$322.75 ,$327.50 ,$511.75 ,$600.00 ,$600.50 
39,$184.25 ,$158.00 ,$175.75 ,$184.25 ,$238.00 ,$248.75 ,$268.00 ,$280.75 ,$329.00 ,$334.00 ,$520.75 ,$611.50 ,$612.50 
40,$187.25 ,$160.75 ,$178.00 ,$187.25 ,$242.75 ,$252.75 ,$273.25 ,$285.50 ,$335.50 ,$340.75 ,$529.50 ,$621.25 ,$624.50 
41,$189.75 ,$163.00 ,$180.50 ,$189.75 ,$247.25 ,$257.00 ,$278.75 ,$290.50 ,$342.00 ,$347.50 ,$538.25 ,$630.75 ,$634.75 
42,$192.50 ,$165.50 ,$183.00 ,$192.50 ,$251.75 ,$261.00 ,$284.00 ,$295.75 ,$348.50 ,$354.00 ,$547.00 ,$641.00 ,$645.25 
43,$195.00 ,$168.00 ,$186.00 ,$195.00 ,$257.00 ,$265.25 ,$289.25 ,$301.00 ,$355.00 ,$360.75 ,$555.50 ,$650.50 ,$655.50 
44,$197.75 ,$170.25 ,$188.75 ,$197.75 ,$261.75 ,$269.25 ,$294.50 ,$306.25 ,$361.50 ,$367.50 ,$564.25 ,$660.25 ,$666.00 
45,$200.25 ,$172.75 ,$191.00 ,$200.25 ,$267.25 ,$273.50 ,$299.75 ,$311.00 ,$368.00 ,$374.00 ,$573.00 ,$670.00 ,$676.25 
46,$202.75 ,$175.00 ,$193.75 ,$202.75 ,$272.50 ,$277.00 ,$305.75 ,$316.00 ,$374.50 ,$380.75 ,$580.00 ,$679.75 ,$686.75 
47,$205.75 ,$177.50 ,$196.00 ,$205.75 ,$278.00 ,$281.50 ,$311.00 ,$321.00 ,$381.00 ,$387.25 ,$588.75 ,$689.75 ,$697.00 
48,$208.25 ,$179.75 ,$199.00 ,$208.25 ,$283.50 ,$285.75 ,$316.50 ,$325.75 ,$387.50 ,$394.00 ,$597.50 ,$699.50 ,$708.50 
49,$211.25 ,$182.00 ,$201.25 ,$211.25 ,$289.00 ,$290.25 ,$321.75 ,$330.75 ,$393.75 ,$400.75 ,$606.00 ,$709.25 ,$720.25 
50,$213.75 ,$184.50 ,$203.50 ,$213.75 ,$294.25 ,$294.50 ,$327.00 ,$335.50 ,$400.25 ,$407.00 ,$614.75 ,$719.00 ,$731.75 
52,$218.50 ,$189.00 ,$207.50 ,$218.50 ,$305.00 ,$301.75 ,$337.25 ,$346.25 ,$415.00 ,$420.50 ,$632.00 ,$738.75 ,$753.25 
54,$223.00 ,$193.00 ,$211.50 ,$223.00 ,$315.00 ,$311.25 ,$347.00 ,$357.25 ,$428.25 ,$434.00 ,$649.50 ,$758.25 ,$774.75 
56,$227.50 ,$197.50 ,$215.50 ,$227.50 ,$325.50 ,$320.50 ,$356.75 ,$368.00 ,$442.75 ,$446.75 ,$666.75 ,$778.00 ,$796.50 
58,$232.00 ,$201.50 ,$219.50 ,$232.00 ,$335.75 ,$329.50 ,$366.75 ,$378.75 ,$455.75 ,$459.50 ,$684.50 ,$797.50 ,$812.50 
60,$236.75 ,$206.00 ,$223.50 ,$236.75 ,$346.00 ,$338.75 ,$376.50 ,$389.75 ,$470.75 ,$472.50 ,$701.75 ,$817.25 ,$832.00 
62,$241.00 ,$210.00 ,$227.75 ,$241.00 ,$356.50 ,$347.75 ,$386.25 ,$400.25 ,$483.50 ,$485.50 ,$719.25 ,$836.75 ,$853.25 
64,$245.50 ,$214.50 ,$231.75 ,$245.50 ,$366.75 ,$356.75 ,$396.25 ,$410.75 ,$498.25 ,$498.25 ,$736.50 ,$856.25 ,$874.75 
66,$249.75 ,$217.75 ,$236.00 ,$249.75 ,$377.00 ,$365.75 ,$406.25 ,$421.25 ,$511.25 ,$511.50 ,$754.00 ,$876.00 ,$896.25 
68,$254.25 ,$222.00 ,$240.25 ,$254.25 ,$387.50 ,$374.75 ,$416.25 ,$432.00 ,$524.00 ,$525.00 ,$771.25 ,$895.50 ,$917.50 
70,$258.50 ,$226.25 ,$244.00 ,$258.50 ,$397.50 ,$383.75 ,$426.00 ,$442.25 ,$536.75 ,$538.50 ,$788.50 ,$915.25 ,$939.00 
72,$262.75 ,$230.75 ,$248.00 ,$262.75 ,$408.50 ,$392.50 ,$435.75 ,$453.00 ,$549.50 ,$551.75 ,$806.00 ,$934.75 ,$961.75 
74,$266.50 ,$235.00 ,$251.75 ,$266.50 ,$418.50 ,$401.50 ,$445.00 ,$463.25 ,$562.50 ,$565.00 ,$823.25 ,$954.50 ,$984.75 
76,$270.00 ,$238.25 ,$255.75 ,$270.00 ,$428.50 ,$410.50 ,$454.00 ,$474.00 ,$575.00 ,$578.50 ,$839.50 ,$974.00 ,"$1,007.00 "
78,$274.00 ,$242.25 ,$259.50 ,$274.00 ,$439.50 ,$419.50 ,$463.00 ,$484.50 ,$587.75 ,$591.75 ,$856.00 ,$993.75 ,"$1,029.25 "
80,$278.25 ,$246.25 ,$263.25 ,$278.25 ,$449.50 ,$428.50 ,$472.25 ,$495.00 ,$600.50 ,$605.25 ,$872.25 ,"$1,013.00 ","$1,051.75 "
82,$281.50 ,$249.50 ,$267.00 ,$281.50 ,$459.75 ,$436.00 ,$481.50 ,$505.50 ,$613.00 ,$616.50 ,$884.25 ,"$1,032.50 ","$1,073.75 "
84,$284.75 ,$251.75 ,$271.25 ,$284.75 ,$471.00 ,$443.75 ,$490.50 ,$514.75 ,$625.75 ,$625.75 ,$892.00 ,"$1,052.25 ","$1,095.75 "
86,$288.00 ,$254.00 ,$275.50 ,$288.00 ,$480.50 ,$450.50 ,$499.50 ,$524.25 ,$633.50 ,$634.50 ,$900.00 ,"$1,071.75 ","$1,117.50 "
88,$289.75 ,$256.25 ,$278.00 ,$289.75 ,$490.75 ,$459.50 ,$508.50 ,$532.00 ,$646.25 ,$646.25 ,$907.75 ,"$1,091.50 ","$1,139.25 "
90,$293.00 ,$258.50 ,$282.25 ,$293.00 ,$501.25 ,$466.25 ,$517.75 ,$542.50 ,$653.00 ,$653.00 ,$915.75 ,"$1,111.00 ","$1,161.25 "
92,$296.00 ,$260.75 ,$286.25 ,$296.00 ,$511.50 ,$473.00 ,$526.75 ,$553.00 ,$666.00 ,$666.00 ,$923.75 ,"$1,130.75 ","$1,183.00 "
94,$299.00 ,$263.00 ,$290.25 ,$299.00 ,$521.75 ,$481.75 ,$536.00 ,$563.25 ,$678.50 ,$678.50 ,$931.50 ,"$1,150.25 ","$1,204.75 "
96,$301.50 ,$265.75 ,$293.75 ,$301.50 ,$532.25 ,$491.00 ,$545.00 ,$571.00 ,$691.00 ,$691.00 ,$940.25 ,"$1,170.00 ","$1,226.75 "
98,$305.00 ,$269.00 ,$296.50 ,$305.00 ,$542.75 ,$499.75 ,$554.25 ,$581.50 ,$703.25 ,$703.25 ,$951.50 ,"$1,189.50 ","$1,248.50 "
100,$308.50 ,$272.50 ,$300.75 ,$308.50 ,$552.75 ,$508.75 ,$563.25 ,$588.50 ,$715.75 ,$715.75 ,$963.25 ,"$1,209.00 ","$1,270.50 "
105,$323.25 ,$284.25 ,$315.25 ,$323.25 ,$581.00 ,$534.00 ,$590.25 ,$618.50 ,$748.75 ,$748.75 ,"$1,002.75 ","$1,269.50 ","$1,332.75 "
110,$338.50 ,$297.00 ,$330.00 ,$338.50 ,$608.50 ,$559.00 ,$617.25 ,$649.50 ,$781.25 ,$781.25 ,"$1,050.25 ","$1,330.00 ","$1,395.25 "
115,$353.50 ,$310.50 ,$344.50 ,$353.50 ,$636.25 ,$584.50 ,$644.25 ,$677.50 ,$814.25 ,$814.25 ,"$1,097.75 ","$1,390.25 ","$1,457.75 "
120,$368.75 ,$324.00 ,$359.25 ,$368.75 ,$663.75 ,$609.50 ,$671.50 ,$707.75 ,$847.00 ,$847.00 ,"$1,145.25 ","$1,451.00 ","$1,520.25 "
125,$384.00 ,$337.50 ,$373.75 ,$384.00 ,$691.25 ,$634.75 ,$698.25 ,$740.00 ,$880.00 ,$880.00 ,"$1,185.75 ","$1,511.25 ","$1,582.75 "
130,$399.00 ,$351.00 ,$388.50 ,$399.00 ,$718.00 ,$659.25 ,$725.25 ,$768.25 ,$912.75 ,$912.75 ,"$1,221.00 ","$1,571.75 ","$1,645.25 "
135,$414.00 ,$364.25 ,$403.00 ,$414.00 ,$744.25 ,$683.25 ,$752.50 ,$796.25 ,$945.75 ,$945.75 ,"$1,257.00 ","$1,632.00 ","$1,707.75 "
140,$429.00 ,$377.75 ,$417.50 ,$429.00 ,$770.75 ,$707.25 ,$779.25 ,$824.25 ,$978.25 ,$978.25 ,"$1,293.50 ","$1,692.50 ","$1,770.25 "
145,$444.00 ,$391.25 ,$432.25 ,$444.00 ,$797.00 ,$731.50 ,$806.50 ,$855.75 ,"$1,011.25 ","$1,011.25 ","$1,329.75 ","$1,752.75 ","$1,832.75 "
150,$459.00 ,$404.50 ,$449.00 ,$459.00 ,$822.75 ,$755.75 ,$833.50 ,$884.00 ,"$1,044.00 ","$1,044.00 ","$1,366.00 ","$1,813.50 ","$1,895.25 "
Per Pd.,$3.08 ,$2.71 ,$2.96 ,$3.08 ,$5.49 ,$5.02 ,$5.59 ,$5.89 ,$6.97 ,$6.97 ,$9.12 ,$12.09 ,$12.64 
Min,$459.00 ,$404.50 ,$449.00 ,$459.00 ,$822.75 ,$755.75 ,$833.50 ,$884.00 ,"$1,044.00 ","$1,044.00 ","$1,366.00 ","$1,813.50 ","$1,895.25 "





UPS Worldwide Express Box,,,,,,,,,,,,,
UPS 10 KG Box and UPS 25 KG Box,,,,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,,,,

Weight Not To Exceed,Zone 80,Zone 81,Zone 82,Zone 84,Zone 900,Zone 901,Zone 902,Zone 903,Zone 904,Zone 905,Zone 906,Zone 907,Zone 908


10kg (22 lbs),$98.25 ,$98.25 ,$99.75 ,$98.25 ,$149.50 ,$154.25 ,$168.00 ,$173.25 ,$171.75 ,$208.00 ,$219.00 ,$219.00 ,$219.00 
25Kg (55lbs),$173.75 ,$173.75 ,$176.25 ,$173.75 ,$256.75 ,$215.75 ,$253.50 ,$254.25 ,$251.75 ,$370.50 ,$371.00 ,$428.75 ,$428.75 
